Disease,Transmission,rnaught_lower,rnaught_upper,hit_lower,hit_upper
Measles,Aerosol,12,18,92,94
Chickenpox (varicella),Aerosol,10,12,90,92
Mumps,Respiratory droplets,10,12,90,92
Rubella,Respiratory droplets,6,7,83,86
COVID-19 (Delta variant),Respiratory droplets and aerosol,5,8,80,88
Polio,Fecal–oral route,5,7,80,86
Pertussis,Respiratory droplets,5.5,,82,
Smallpox,Respiratory droplets,3.5,6,71,83
COVID-19 (Alpha variant),Respiratory droplets and aerosol,4,5,75,80
HIV/AIDS,Body fluids,2,5,50,80
COVID-19 (ancestral strain),Respiratory droplets and aerosol,2.39,3.44,58,71
SARS,Respiratory droplets,2,4,50,75
Diphtheria,Saliva,1.7,4.3,41,77
Common cold,Respiratory droplets,3,3,50,67
Ebola (2014 outbreak),Body fluids,1.44,1.8,31,44
Influenza (2009 pandemic strain),Respiratory droplets,1.34,2.04,25,51
Influenza (seasonal strains),Respiratory droplets,1.2,1.4,17,29
Andes hantavirus,Respiratory droplets and body fluids,0.82,1.56,0,36
Nipah virus,Body fluids,0.48,,0,
MERS,Respiratory droplets,0.29,0.8,0,
