,rmse,mae,mape
"((8, 2, 10), (0, 1, 0, 7))",30140.50457839527,23414.22281597402,4.011548857685488
"((7, 2, 11), (0, 1, 0, 7))",30140.50476660258,23414.731127255247,4.011609923506233
"((10, 0, 0), (0, 0, 2, 7))",30140.505771512504,23415.65781248432,4.011721250553608
"((1, 1, 3), (0, 0, 2, 7))",30140.506938168415,23416.285696776755,4.011796681241587
"((2, 0, 7), (3, 1, 0, 7))",30140.507167175212,23416.388767182627,4.011809063573361
"((1, 1, 10), (0, 0, 0, 0))",30140.508224291712,23416.81418966756,4.011860171573844
"((1, 1, 10), (0, 0, 0, 7))",30140.508224291712,23416.81418966756,4.011860171573844
"((0, 2, 6), (0, 0, 2, 7))",30140.51214259329,23418.0053797809,4.012003274834821
"((0, 1, 4), (0, 0, 2, 7))",30140.51292484191,23418.201923062366,4.012026886501998
"((4, 0, 7), (1, 0, 0, 7))",30140.513568014514,23418.356722214936,4.012045483250981
"((5, 2, 5), (2, 0, 0, 7))",30140.51400163788,23418.457981275093,4.012057647977292
"((3, 2, 7), (1, 0, 0, 7))",30140.51981666035,23419.639700698932,4.012199613479874
"((0, 1, 10), (0, 0, 0, 0))",30140.521521460927,23419.94096351189,4.012235805596029
"((0, 1, 10), (0, 0, 0, 7))",30140.521521460927,23419.94096351189,4.012235805596029
"((2, 2, 0), (5, 1, 2, 7))",30140.52167645575,23419.96758565551,4.012239003839134
"((3, 0, 6), (0, 0, 2, 7))",30140.525270606326,23420.55417484951,4.0123094735530564
"((4, 0, 11), (4, 0, 0, 7))",30140.530905322772,23421.37920381669,4.012408588156411
"((2, 2, 0), (5, 0, 0, 7))",30140.533791726924,23421.767497912617,4.012455235749204
"((0, 2, 2), (0, 0, 2, 7))",30140.54034080763,23422.582815657424,4.012553183697822
"((2, 0, 7), (4, 1, 0, 7))",30140.55003183849,23423.6625192098,4.012682893554798
"((0, 1, 3), (0, 0, 2, 7))",30140.552597575734,23423.92852671772,4.012714850285635
"((4, 0, 11), (2, 0, 0, 7))",30140.56006130496,23424.66431062661,4.01280324346113
"((2, 0, 5), (0, 0, 1, 7))",30140.560727699827,23424.727526648072,4.012810837898589
"((5, 0, 4), (0, 0, 1, 7))",30140.569688609896,23425.543698733356,4.012908888483138
"((2, 0, 7), (5, 1, 0, 7))",30140.56993956516,23425.565719438026,4.012911533933778
"((6, 1, 4), (1, 0, 0, 7))",30140.576078160593,23426.09177543572,4.012974731510624
"((6, 2, 0), (5, 0, 1, 7))",30140.58283502308,23426.645327370374,4.013041232303472
"((6, 0, 3), (0, 0, 1, 7))",30140.584456981705,23426.77460628405,4.013056763186339
"((4, 2, 2), (0, 0, 2, 7))",30140.594412060895,23427.540860696387,4.013148816926472
"((3, 0, 11), (3, 0, 0, 7))",30140.603320766524,23428.19127836996,4.013226954655323
"((4, 2, 8), (1, 0, 0, 7))",30140.61342770952,23428.894585326594,4.0133114462220645
"((1, 0, 9), (5, 0, 0, 7))",30140.6542999383,23431.450298449723,4.01361847603867
"((3, 0, 9), (3, 0, 0, 7))",30140.681748614756,23432.97333519308,4.013801445593337
"((0, 2, 8), (2, 1, 0, 7))",30140.694383833197,23433.634541430012,4.013880879402956
"((3, 0, 8), (1, 0, 0, 7))",30140.701863069055,23434.01559008119,4.013926656566454
"((0, 2, 3), (0, 0, 2, 7))",30140.76278987106,23436.883426139797,4.014271183176722
"((4, 0, 11), (3, 0, 0, 7))",30140.77329621158,23437.34221056837,4.014326299104129
"((1, 0, 10), (0, 0, 0, 0))",30140.791047990526,23438.097458980363,4.014417030641768
"((1, 0, 10), (0, 0, 0, 7))",30140.791047990526,23438.097458980363,4.014417030641768
"((3, 0, 1), (0, 0, 2, 7))",30140.793389949962,23438.1953296862,4.014428788309165
"((4, 0, 4), (5, 0, 1, 7))",30140.799563175726,23438.45142415187,4.014459554139694
"((8, 2, 11), (0, 1, 0, 7))",30140.80006192764,23438.471997219604,4.014462025678911
"((6, 2, 5), (0, 1, 0, 7))",30140.806936315163,23438.753810216556,4.0144958811973535
"((2, 0, 7), (2, 1, 0, 7))",30140.815187447377,23439.087865152746,4.014536012785233
"((1, 0, 10), (2, 0, 0, 7))",30140.821494407166,23439.340226738303,4.014566330167348
"((1, 1, 7), (2, 1, 0, 7))",30140.829784935577,23439.668167746393,4.01460572726034
"((2, 2, 3), (0, 0, 2, 7))",30140.842165464594,23440.15020729866,4.014663636934938
"((1, 2, 0), (5, 1, 0, 7))",30140.91286503479,23442.747902187246,4.014975710218136
"((10, 0, 0), (0, 0, 0, 7))",30140.913891688775,23442.783891134113,4.01498003373929
"((10, 0, 0), (0, 0, 0, 0))",30140.913891688775,23442.783891134113,4.01498003373929
"((3, 1, 10), (0, 0, 0, 7))",30140.915138720924,23442.827544699572,4.014985278047064
"((3, 1, 10), (0, 0, 0, 0))",30140.915138720924,23442.827544699572,4.014985278047064
"((6, 0, 4), (0, 0, 2, 7))",30140.919834922286,23442.991347776293,4.0150049564797285
"((3, 2, 5), (2, 0, 0, 7))",30140.922147569796,23443.071672331796,4.015014606245707
"((10, 0, 1), (0, 0, 2, 7))",30140.92263525985,23443.088582716417,4.015016637769606
"((2, 1, 9), (0, 0, 0, 0))",30140.93516068615,23443.519564079423,4.01506841358421
"((2, 1, 9), (0, 0, 0, 7))",30140.93516068615,23443.519564079423,4.01506841358421
"((6, 0, 6), (0, 0, 2, 7))",30140.959424199435,23444.336962583326,4.015166611504186
"((7, 2, 3), (0, 1, 0, 7))",30140.96315850895,23444.460811107372,4.0151814900088505
"((5, 0, 4), (1, 0, 0, 7))",30140.963217678327,23444.462769395897,4.0151817252672455
"((2, 0, 10), (5, 0, 0, 7))",30140.968760624666,23444.645663684583,4.015203697216839
"((2, 0, 6), (0, 0, 2, 7))",30140.970300099467,23444.696265968694,4.015209776306807
"((4, 1, 1), (0, 0, 0, 7))",30140.990623662845,23445.356618609374,4.0152891075699
"((4, 1, 1), (0, 0, 0, 0))",30140.990623662845,23445.356618609374,4.0152891075699
"((6, 0, 5), (0, 0, 1, 7))",30141.02108727194,23446.321101726273,4.015404975455001
"((3, 2, 8), (1, 0, 0, 7))",30141.036148111853,23446.78741836169,4.01546099626178
"((2, 0, 0), (1, 0, 0, 7))",30141.056351748444,23447.402713014893,4.015534914497289
"((3, 0, 10), (1, 0, 0, 7))",30141.059836624896,23447.507697668658,4.015547526796651
"((3, 0, 9), (0, 0, 0, 7))",30141.107539699296,23448.9129728271,4.015716349099231
"((3, 0, 9), (0, 0, 0, 0))",30141.107539699296,23448.9129728271,4.015716349099231
"((3, 0, 11), (0, 0, 0, 0))",30141.11581963008,23449.15115123239,4.01574496258931
"((3, 0, 11), (0, 0, 0, 7))",30141.11581963008,23449.15115123239,4.01574496258931
"((3, 2, 11), (0, 0, 0, 0))",30141.138017701007,23449.78185075017,4.015820731483529
"((3, 2, 11), (0, 0, 0, 7))",30141.138017701007,23449.78185075017,4.015820731483529
"((5, 2, 5), (1, 0, 0, 7))",30141.145332403397,23449.987250519025,4.015845407122117
"((2, 0, 2), (0, 0, 2, 7))",30141.146556304728,23450.021503449178,4.015849522087434
"((3, 0, 9), (1, 0, 0, 7))",30141.154730989965,23450.24945330054,4.0158769067733076
"((4, 0, 6), (1, 0, 0, 7))",30141.154744080697,23450.249817180775,4.015876950487948
"((6, 0, 4), (1, 0, 0, 7))",30141.18986440626,23451.213205984834,4.01599268690811
"((1, 1, 6), (0, 0, 2, 7))",30141.217446882016,23451.952635586644,4.0160815180578116
"((0, 1, 1), (0, 0, 2, 7))",30141.228650412137,23452.248886092417,4.016117108021974
"((1, 1, 7), (2, 0, 0, 7))",30141.262689111765,23453.13516688385,4.016223581094554
"((5, 1, 3), (1, 0, 0, 7))",30141.298471598104,23454.045654520127,4.016332962249057
"((4, 2, 12), (0, 0, 0, 7))",30141.31745416478,23454.52034141139,4.01638998861397
"((4, 2, 12), (0, 0, 0, 0))",30141.31745416478,23454.52034141139,4.01638998861397
"((7, 2, 10), (0, 1, 0, 7))",30141.32708658828,23454.75909462059,4.0164186711579415
"((5, 0, 10), (1, 0, 0, 7))",30141.389814323018,23456.280845578993,4.016601486245226
"((6, 2, 10), (0, 1, 0, 7))",30141.401408999736,23456.556155309936,4.016634560495789
"((8, 2, 4), (0, 0, 0, 0))",30141.407034252912,23456.689082900753,4.016650529711371
"((8, 2, 4), (0, 0, 0, 7))",30141.407034252912,23456.689082900753,4.016650529711371
"((1, 2, 8), (2, 1, 0, 7))",30141.505812484378,23458.959119081646,4.016923239815648
"((3, 0, 12), (1, 0, 0, 7))",30141.562773865273,23460.21738629521,4.017074401363603
"((4, 1, 7), (1, 0, 0, 7))",30141.56954329732,23460.364646729013,4.0170920924509055
"((4, 2, 5), (1, 0, 0, 7))",30141.61100299716,23461.256517768106,4.017199237106185
"((1, 1, 7), (5, 1, 0, 7))",30141.62207542583,23461.49186538003,4.017227510519767
"((7, 2, 7), (0, 1, 0, 7))",30141.635342937574,23461.77233988963,4.017261205239439
"((2, 0, 10), (0, 0, 0, 0))",30141.66083062701,23462.306569814107,4.017325384788487
"((2, 0, 10), (0, 0, 0, 7))",30141.66083062701,23462.306569814107,4.017325384788487
"((3, 0, 9), (2, 0, 0, 7))",30141.67134947728,23462.525330105946,4.017351665489429
"((5, 0, 9), (0, 0, 0, 0))",30141.743700245122,23464.004031521432,4.017529308833003
"((5, 0, 9), (0, 0, 0, 7))",30141.743700245122,23464.004031521432,4.017529308833003
"((1, 1, 4), (0, 0, 2, 7))",30141.766101124565,23464.45305637902,4.017583252297327
"((1, 1, 5), (0, 0, 1, 7))",30141.768733388646,23464.50555738684,4.017589559489889
"((2, 0, 3), (0, 0, 2, 7))",30141.787807254866,23464.88436770312,4.017635067751706
"((1, 1, 1), (0, 0, 2, 7))",30141.794328023454,23465.01322482507,4.017650547962752
"((3, 0, 11), (1, 0, 0, 7))",30141.795281404036,23465.032037293135,4.017652807992866
"((5, 0, 7), (1, 0, 0, 7))",30141.80165008402,23465.157528697375,4.0176678838644415
"((2, 2, 6), (0, 0, 2, 7))",30141.8048769841,23465.220995435575,4.01767550842168
"((1, 2, 8), (2, 0, 0, 7))",30141.81881448677,23465.494218220483,4.017708331957618
"((3, 0, 12), (2, 0, 0, 7))",30141.86040917978,23466.301114965223,4.017805268251959
"((1, 0, 10), (3, 0, 0, 7))",30141.872146294812,23466.52655705563,4.017832351668734
"((1, 0, 4), (0, 0, 2, 7))",30141.878058688602,23466.63975371661,4.0178459505150785
"((1, 0, 9), (3, 0, 0, 7))",30141.903521723743,23467.124498878038,4.01790418522721
"((5, 1, 11), (0, 0, 0, 7))",30141.941209901295,23467.833950956687,4.017989415036309
"((5, 1, 11), (0, 0, 0, 0))",30141.941209901295,23467.833950956687,4.017989415036309
"((3, 1, 1), (0, 0, 1, 7))",30141.943925140968,23467.88470195012,4.017995511991428
"((4, 0, 8), (0, 0, 0, 7))",30141.950971744933,23468.0161883289,4.0180113080674404
"((4, 0, 8), (0, 0, 0, 0))",30141.950971744933,23468.0161883289,4.0180113080674404
"((8, 2, 4), (0, 1, 0, 7))",30141.951594350725,23468.027790451506,4.018012701884903
"((1, 0, 11), (0, 0, 0, 7))",30141.96373983184,23468.253621636315,4.0180398320454165
"((1, 0, 11), (0, 0, 0, 0))",30141.96373983184,23468.253621636315,4.0180398320454165
"((0, 1, 11), (0, 0, 0, 7))",30141.97226216713,23468.41152399617,4.01805880159726
"((0, 1, 11), (0, 0, 0, 0))",30141.97226216713,23468.41152399617,4.01805880159726
"((1, 1, 7), (3, 1, 0, 7))",30141.98748833899,23468.69249857169,4.018092556392197
