,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,new_tests,icu_patients,hosp_patients,total_tests,total_recovered,new_recovered,active_cases,percent_pop_affected,percent_pop_tested,percent_pop_vaccinated,herd_immunity_threshold,death_percent,recovered_percent,total_cases_per_hundred,total_deaths_per_hundred,total_recovered_per_hundred,total_tests_per_hundred,positive_rate,tests_per_case,new_tests_smoothed,new_recovered_smoothed,percent_increase_cases
0,2020-01-01,,,,,,,,,,,,,,,,,,,,,,,7794798729.0,,,,,,,,,,,,,,,28.0,0.0,0.0,28.0,0.0,0.0,0.0,,,,5222515148.43,,,,,,,,,,,
1,2020-01-02,,,,,,,,,,,,,,,,,,,,,,,7794798729.0,,,,,,,,,,,,,,,108.0,0.0,0.0,136.0,0.0,0.0,0.0,,,,5222515148.43,,,,,,,,,,,
2,2020-01-03,,,,,,,,,,,,,,,,,,,,,,,7794798729.0,,,,,,,,,,,,,,,94.0,0.0,0.0,230.0,0.0,0.0,0.0,,,,5222515148.43,,,,,,,,,,,
3,2020-01-04,,,,,,,,,,,,,,,,,,,,,,,7794798729.0,,,,,,,,,,,,,,,116.0,0.0,0.0,346.0,0.0,0.0,0.0,,,,5222515148.43,,,,,,,,,,,
4,2020-01-05,,,,,,,,,,,,,,,,,,,,,,,7794798729.0,,,,,,,,,,,,,,,87.0,0.0,0.0,433.0,0.0,0.0,0.0,,,,5222515148.43,,,,,,,,,,,
5,2020-01-06,,,,,,,,,,,,,,,,,,,,,,,7794798729.0,,,,,,,,,,,,,,,218.0,0.0,1.0,651.0,0.0,0.0,0.0,,,,5222515148.43,,,,,,,,,,,
6,2020-01-07,,,,,,,,,,,,,,,,,,,,,,,7794798729.0,,,,,,,,,,,,,,,209.0,0.0,0.0,860.0,0.0,0.0,0.0,,,,5222515148.43,,,,,,,,,122.85714285714286,0.0,
7,2020-01-08,,,,,,,,,,,,,,,,,,,,,,,7794798729.0,,,,,,,,,,,,,,,170.0,0.0,0.0,1030.0,0.0,0.0,0.0,,,,5222515148.43,,,,,,,,,143.14285714285714,0.0,
8,2020-01-09,,,,,,,,,,,,,,,,,,,,,,,7794798729.0,,,,,,,,,,,,,,,203.0,0.0,0.0,1233.0,0.0,0.0,0.0,,,,5222515148.43,,,,,,,,,156.71428571428572,0.0,
9,2020-01-10,,,,,,,,,,,,,,,,,,,,,,,7794798729.0,,,,,,,,,,,,,,,243.0,0.0,0.0,1476.0,0.0,0.0,0.0,,,,5222515148.43,,,,,,,,,178.0,0.0,
