,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,new_tests,icu_patients,hosp_patients,total_tests,total_recovered,new_recovered,active_cases,percent_pop_affected,percent_pop_tested,percent_pop_vaccinated,herd_immunity_threshold,death_percent,recovered_percent,positive_rate,tests_per_case,new_tests_smoothed,new_recovered_smoothed,percent_increase_cases
0,2020-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,0.0,0.0,27.0,0.0,0.0,0.0,,,,,,,,,,,
1,2020-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.0,0.0,0.0,135.0,0.0,0.0,0.0,,,,,,,,,,,
2,2020-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.0,0.0,0.0,228.0,0.0,0.0,0.0,,,,,,,,,,,
3,2020-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.0,0.0,0.0,340.0,0.0,0.0,0.0,,,,,,,,,,,
4,2020-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.0,0.0,0.0,427.0,0.0,0.0,0.0,,,,,,,,,,,
5,2020-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.0,0.0,0.0,645.0,0.0,0.0,0.0,,,,,,,,,,,
6,2020-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.0,0.0,0.0,856.0,0.0,0.0,0.0,,,,,,,,,122.28571428571429,0.0,
7,2020-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.0,0.0,0.0,1028.0,0.0,0.0,0.0,,,,,,,,,143.0,0.0,
8,2020-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.0,0.0,0.0,1231.0,0.0,0.0,0.0,,,,,,,,,156.57142857142858,0.0,
9,2020-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246.0,0.0,0.0,1477.0,0.0,0.0,0.0,,,,,,,,,178.42857142857142,0.0,
10,2020-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,0.0,0.0,1525.0,0.0,0.0,0.0,,,,,,,,,169.28571428571428,0.0,
11,2020-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.0,0.0,0.0,1696.0,0.0,0.0,0.0,,,,,,,,,181.28571428571428,0.0,
12,2020-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242.0,0.0,0.0,1938.0,0.0,0.0,0.0,,,,,,,,,184.71428571428572,0.0,
13,2020-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249.0,0.0,0.0,2187.0,0.0,0.0,0.0,,,,,,,,,190.14285714285714,0.0,
14,2020-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342.0,0.0,0.0,2529.0,0.0,0.0,0.0,,,,,,,,,214.42857142857142,0.0,
15,2020-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245.0,0.0,0.0,2774.0,0.0,0.0,0.0,,,,,,,,,220.42857142857142,0.0,
16,2020-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.0,0.0,0.0,2965.0,0.0,0.0,0.0,,,,,,,,,212.57142857142858,0.0,
